coap.version,coap.type,coap.token_len,coap.mid,coap.opt.name,coap.opt.length,coap.opt.length_ext,coap.code,coap.payload_length,coap.opt.desc,coap.opt.delta,coap.opt.proxy_uri,attack
1,2,2,3297,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,7833,2,2,11,1,-1,1,1,8,0
1,2,2,7833,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,17204,2,2,11,1,-1,1,1,6,0
1,2,2,17204,-1,-1,-1,69,490,-1,-1,-1,0
1,0,2,63738,2,2,11,1,-1,1,1,11,0
1,2,2,63738,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,11470,2,2,11,1,-1,1,1,8,0
1,2,2,11470,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,19192,2,2,11,2,388,1,1,6,1
1,2,2,19192,1,1,8,65,-1,2,2,6,0
1,0,2,18502,2,2,11,3,12,1,1,6,0
1,2,2,18502,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,18502,2,2,11,3,12,1,1,6,0
1,2,2,18502,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,33699,2,2,11,3,16,1,1,11,0
1,2,2,33699,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,45244,2,2,11,2,529,1,1,6,1
1,2,2,45244,1,1,8,65,-1,2,2,6,0
1,0,2,13588,2,2,11,1,-1,1,1,6,0
1,2,2,13588,-1,-1,-1,69,529,-1,-1,-1,0
1,0,2,7751,2,2,11,1,-1,1,1,11,0
1,2,2,7751,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,7888,2,2,11,1,-1,1,1,8,0
1,2,2,7888,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,65108,2,2,11,3,13,1,1,8,0
1,2,2,65108,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,2431,2,2,11,1,-1,1,1,6,0
1,2,2,2431,-1,-1,-1,69,529,-1,-1,-1,0
1,0,2,47908,2,2,11,1,-1,1,1,11,0
1,2,2,47908,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,3751,2,2,11,1,-1,1,1,8,0
1,2,2,3751,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,62688,2,2,11,3,12,1,1,6,0
1,2,2,62688,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,33950,2,2,11,3,16,1,1,11,0
1,2,2,33950,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,11072,2,2,11,2,532,1,1,6,1
1,2,2,11072,1,1,8,65,-1,2,2,6,0
1,0,2,57249,2,2,11,3,13,1,1,8,0
1,2,2,57249,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,33251,2,2,11,3,12,1,1,6,0
1,2,2,33251,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,9328,2,2,11,3,16,1,1,11,0
1,2,2,9328,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,41709,2,2,11,3,13,1,1,8,0
1,2,2,41709,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,11789,2,2,11,3,12,1,1,6,0
1,2,2,11789,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,52974,2,2,11,1,-1,1,1,6,0
1,2,2,52974,-1,-1,-1,69,12,-1,-1,-1,0
1,0,2,7247,2,2,11,1,-1,1,1,11,0
1,2,2,7247,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,26616,2,2,11,1,-1,1,1,8,0
1,2,2,26616,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,8996,2,2,11,3,16,1,1,11,0
1,2,2,8996,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,1612,2,2,11,2,276,1,1,6,1
1,2,2,1612,1,1,8,65,-1,2,2,6,0
1,0,2,14731,2,2,11,3,13,1,1,8,0
1,2,2,14731,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,53310,2,2,11,1,-1,1,1,6,0
1,2,2,53310,-1,-1,-1,69,276,-1,-1,-1,0
1,0,2,27032,2,2,11,1,-1,1,1,11,0
1,2,2,27032,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,31421,2,2,11,1,-1,1,1,8,0
1,2,2,31421,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,18445,2,2,11,3,12,1,1,6,0
1,2,2,18445,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,24330,2,2,11,3,16,1,1,11,0
1,2,2,24330,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,15510,2,2,11,3,13,1,1,8,0
1,2,2,15510,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,44036,2,2,11,2,379,1,1,6,1
1,2,2,44036,1,1,8,65,-1,2,2,6,0
1,0,2,36758,2,2,11,3,12,1,1,6,0
1,2,2,36758,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,38106,2,2,11,1,-1,1,1,6,0
1,2,2,38106,-1,-1,-1,69,12,-1,-1,-1,0
1,0,2,22531,2,2,11,1,-1,1,1,11,0
1,2,2,22531,-1,-1,-1,69,16,-1,-1,-1,0
